fortune_url_daily,morningstar_url_daily,seekingalpha_url_daily,financialtimes_url_daily,finance_url_daily,cnn_url_daily
https://web.archive.org/web/20180101153146/https://www.fortune.com/,https://web.archive.org/web/20180101152248/https://www.morningstar.com/,https://web.archive.org/web/20180101145302/https://www.seekingalpha.com/,,https://web.archive.org/web/20180101145514/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180102149842/https://www.fortune.com/,https://web.archive.org/web/20180102184283/https://www.morningstar.com/,https://web.archive.org/web/20180102153941/https://www.seekingalpha.com/,,https://web.archive.org/web/20180102103237/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180103116155/https://www.fortune.com/,https://web.archive.org/web/20180103161536/https://www.morningstar.com/,https://web.archive.org/web/20180103075544/https://www.seekingalpha.com/,,https://web.archive.org/web/20180103073042/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180104130912/https://www.fortune.com/,https://web.archive.org/web/20180104112140/https://www.morningstar.com/,https://web.archive.org/web/20180104033147/https://www.seekingalpha.com/,,https://web.archive.org/web/20180104140729/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180105125931/https://www.fortune.com/,https://web.archive.org/web/20180105172732/https://www.morningstar.com/,https://web.archive.org/web/20180105145223/https://www.seekingalpha.com/,,https://web.archive.org/web/20180105163807/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180106193816/https://www.fortune.com/,https://web.archive.org/web/20180106139219/https://www.morningstar.com/,https://web.archive.org/web/20180106205128/https://www.seekingalpha.com/,,https://web.archive.org/web/20180106090825/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180107084023/https://www.fortune.com/,https://web.archive.org/web/20180107181945/https://www.morningstar.com/,https://web.archive.org/web/20180107061986/https://www.seekingalpha.com/,,https://web.archive.org/web/20180107171541/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180108122103/https://www.fortune.com/,https://web.archive.org/web/20180108190742/https://www.morningstar.com/,https://web.archive.org/web/20180108072843/https://www.seekingalpha.com/,,https://web.archive.org/web/20180108095833/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180109091205/https://www.fortune.com/,https://web.archive.org/web/20180109192714/https://www.morningstar.com/,https://web.archive.org/web/20180109079207/https://www.seekingalpha.com/,,https://web.archive.org/web/20180109140522/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180110032212/https://www.fortune.com/,https://web.archive.org/web/20180110172133/https://www.morningstar.com/,https://web.archive.org/web/20180110054715/https://www.seekingalpha.com/,,https://web.archive.org/web/20180110200210/http://www.finance.yahoo.com/,
https://web.archive.org/web/20180111134416/https://www.fortune.com/,https://web.archive.org/web/20180111210704/https://www.morningstar.com/,https://web.archive.org/web/20180111053914/https://www.seekingalpha.com/,,https://web.archive.org/web/20180111103925/http://www.finance.yahoo.com/,
