yahoo_url_daily,cnn_url_daily,foxnews_url_daily
https://web.archive.org/web/20180101124901/https://www.yahoo.com/,https://web.archive.org/web/20180101123751/https://www.cnn.com,https://web.archive.org/web/20180101132251/https://www.foxnews.com
https://web.archive.org/web/20180102161480/https://www.yahoo.com/,https://web.archive.org/web/20180102133001/https://www.cnn.com,https://web.archive.org/web/20180102130001/https://www.foxnews.com
https://web.archive.org/web/20180103114536/https://www.yahoo.com/,https://web.archive.org/web/20180103132251/https://www.cnn.com,https://web.archive.org/web/20180103144358/https://www.foxnews.com
https://web.archive.org/web/20180104120616/https://www.yahoo.com/,https://web.archive.org/web/20180104140122/https://www.cnn.com,https://web.archive.org/web/20180104113751/https://www.foxnews.com
https://web.archive.org/web/20180105150128/https://www.yahoo.com/,https://web.archive.org/web/20180105137615/https://www.cnn.com,https://web.archive.org/web/20180105137251/https://www.foxnews.com
https://web.archive.org/web/20180106070927/https://www.yahoo.com/,https://web.archive.org/web/20180106130950/https://www.cnn.com,https://web.archive.org/web/20180106133001/https://www.foxnews.com
https://web.archive.org/web/20180107143921/https://www.yahoo.com/,https://web.archive.org/web/20180107122759/https://www.cnn.com,https://web.archive.org/web/20180107134501/https://www.foxnews.com
https://web.archive.org/web/20180108070657/https://www.yahoo.com/,https://web.archive.org/web/20180108130751/https://www.cnn.com,https://web.archive.org/web/20180108135846/https://www.foxnews.com
https://web.archive.org/web/20180109102928/https://www.yahoo.com/,https://web.archive.org/web/20180109122348/https://www.cnn.com,https://web.archive.org/web/20180109132251/https://www.foxnews.com
https://web.archive.org/web/20180110124918/https://www.yahoo.com/,https://web.archive.org/web/20180110141502/https://www.cnn.com,https://web.archive.org/web/20180110133751/https://www.foxnews.com
https://web.archive.org/web/20180111123747/https://www.yahoo.com/,https://web.archive.org/web/20180111132251/https://www.cnn.com,https://web.archive.org/web/20180111103006/https://www.foxnews.com
https://web.archive.org/web/20180112160308/https://www.yahoo.com/,https://web.archive.org/web/20180112162350/https://www.cnn.com,https://web.archive.org/web/20180112121420/https://www.foxnews.com
https://web.archive.org/web/20180113091702/https://www.yahoo.com/,https://web.archive.org/web/20180113140001/https://www.cnn.com,https://web.archive.org/web/20180113123718/https://www.foxnews.com
https://web.archive.org/web/20180114111840/https://www.yahoo.com/,https://web.archive.org/web/20180114138001/https://www.cnn.com,https://web.archive.org/web/20180114130074/https://www.foxnews.com
https://web.archive.org/web/20180115140642/https://www.yahoo.com/,https://web.archive.org/web/20180115133617/https://www.cnn.com,https://web.archive.org/web/20180115132605/https://www.foxnews.com
https://web.archive.org/web/20180116115651/https://www.yahoo.com/,https://web.archive.org/web/20180116150100/https://www.cnn.com,https://web.archive.org/web/20180116142617/https://www.foxnews.com
https://web.archive.org/web/20180117134012/https://www.yahoo.com/,https://web.archive.org/web/20180117152251/https://www.cnn.com,https://web.archive.org/web/20180117131653/https://www.foxnews.com
https://web.archive.org/web/20180118085213/https://www.yahoo.com/,https://web.archive.org/web/20180118117746/https://www.cnn.com,https://web.archive.org/web/20180118117251/https://www.foxnews.com
https://web.archive.org/web/20180119180054/https://www.yahoo.com/,https://web.archive.org/web/20180119144019/https://www.cnn.com,https://web.archive.org/web/20180119133751/https://www.foxnews.com
https://web.archive.org/web/20180120093033/https://www.yahoo.com/,https://web.archive.org/web/20180120094776/https://www.cnn.com,https://web.archive.org/web/20180120101692/https://www.foxnews.com
https://web.archive.org/web/20180121103049/https://www.yahoo.com/,https://web.archive.org/web/20180121100553/https://www.cnn.com,https://web.archive.org/web/20180121065532/https://www.foxnews.com
https://web.archive.org/web/20180122181730/https://www.yahoo.com/,https://web.archive.org/web/20180122162734/https://www.cnn.com,https://web.archive.org/web/20180122163334/https://www.foxnews.com
